source_file,bytes,sha256,status,tier,reason,duplicate_of
asm/qbl_b_u64.S,1786,efd43afe1e302e64b5f4748595251bcc921bb7f24814842b66a866b0bc06bb99,ADDED,A_core_math,direct arithmetic/numerical/QBL/Orthad implementation or independent reference,
asm/qbl_inspect_u64.S,10999,e9362d57516c82611566ff66efc2df0ba294d9e4863231e415ba5fdf655383d5,ADDED,A_core_math,direct arithmetic/numerical/QBL/Orthad implementation or independent reference,
asm/qbl_step_u64.S,23855,6b865544a4beb5f6a98a12d72ee16e1c0be4a7bcedf6b2242e4dc3f46d60b98f,ADDED,A_core_math,direct arithmetic/numerical/QBL/Orthad implementation or independent reference,
asm/qbl_step_wide_v0.S,15038,4b09ba67f0422ea08a6aec3afc332c15c4132207672ec0c6cc93272cdf8e8d3b,EXACT_DUPLICATE,duplicate,already present as VDM_Math_Mining_for_VoidKit/math_candidates/qbl_step_wide_v0.S,VDM_Math_Mining_for_VoidKit/math_candidates/qbl_step_wide_v0.S
clang/orthad_deep_runner.c,4816,c1f9d0db39f7ef3bf5b83dd33695f4667be31edb7d6e71c188e6a06b6395b83e,ADDED,A_core_math,direct arithmetic/numerical/QBL/Orthad implementation or independent reference,
clang/phase_causal_benchmark.c,2845,200e79bf5ccae5172df54358b80ec8bb64e4a47e06063a80ab71bb2cc40888a6,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_causal_pair_v0.c,6699,882785aa1738f2a77f2f397e988407015cf805caf1919ed493d996df9c518526,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
clang/phase_causal_region_v0.c,7964,18dbfcef3f2ccee1426cd7bc25c1ccc93d9c5d81ea7c6ff4142b33fd7cc12f52,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
clang/phase_cell_fixture.c,1623,af18d58a30d80da7fb4c367088233e979d2d4a1b08e8dd99864ffbef41f56cd7,NOT_ADDED,context_only,persistence/fixture machinery rather than math solver,
clang/phase_cell_snapshot_benchmark.c,1972,3765d6446a7e901c448090e829a2025e874353e0ff2187a9c4d8c4bcbde0f69b,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_cell_snapshot_v1.c,18118,7516c16093b1c4be36fabe18a75930c1c90b99eedb4f593785f567bcfd938adb,NOT_ADDED,context_only,persistence/fixture machinery rather than math solver,
clang/phase_completion_benchmark.c,3123,ed6916819235e9e94414e54edaf9752410ca4ba549fcda4f9371d774c3762609,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_completion_stream_v0.c,12557,00576623b903b8436e04fde6d4508aa3f783cb5ce9bc1fabd4f2ba39a7d126a7,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
clang/phase_effect_benchmark.c,2186,7c92360ec540d5e065ad27e6d4ad7be6b95718a126484935ecb2a22a905ecd7f,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_effect_pipeline_v0.c,7089,dad79379a79fb39b42e8e0c3e06f328efe3a48f9673a9f043d7a2085ee171f7b,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
clang/phase_graph_benchmark.c,2641,f97b569cc373a529fb76de750d1bcce451048996ae866dac3add2133255c93c4,NOT_ADDED,context_only,"benchmark harness, not reusable solver/tool implementation",
clang/phase_graph_custody_v0.c,23482,ac639c1a4ae697b97aab3cbdb89cec79646cf82fbd06180c03f9481ef8bcb866,ADDED,B_algorithmic,reusable deterministic graph/causal/traversal/state algorithm,
