path,status,error
20260620T0535_orthad_carried_phase_walk.py,PASS,
20260710T234301_qbl_b_defect_investigation.py,PASS,
20260711T064604_derive_j.py,PASS,
20260711T074914_derive_symbolic_language.py,PASS,
20260711T083401_derive_affine_language.py,PASS,
20260711T103100_derive_affine_language.py,PASS,
20260711T110131_derive_threshold.py,PASS,
20260711T113107_derive_threshold.py,PASS,
20260711T120831_derive_factor.py,PASS,
20260711T134500_derive_factor_scope.py,PASS,
20260711T142511_derive_primary_pairing.py,PASS,
20260711T145038_model.py,PASS,
20260711T145605_derive_type_boundary.py,PASS,
20260711T162253_derive_domain_invariant.py,PASS,
20260711T162758_model.py,PASS,
20260711T174605_derive_articulation_boundary.py,PASS,
20260711T194326_derive_bql_action_boundary.py,PASS,
20260711T214822_derive_state_forced_action.py,PASS,
20260711T224358_derive_ppgrl.py,PASS,
20260711_072509_reaudit_v8p_against_clean_qbl.py,PASS,
CF00_residual_checks.py,PASS,
CF01_SSH_Metriplectic_Invariant_sympy.py,PASS,
CF01_TwoBand_QGT_Determinant_Ratio_sympy.py,PASS,
CF02_symbolic_checks.py,PASS,
CF06_sympy.py,PASS,
CF10_symbolic_checks.py,PASS,
CF10_xi_proof_check.py,PASS,
CF16_Weinberg_Numeric_Closure_sympy.py,PASS,
CF18_sympy_validation.py,PASS,
Void_Debt_Modulation.py,PASS,
Void_Equations.py,PASS,
announce.py,PASS,
available_source_boundary_attack_v55.py,PASS,
base_adapter.py,PASS,
base_decay_map.py,PASS,
baseline_extractors.py,PASS,
basis.py,PASS,
bring_quintic_root_certificate.py,PASS,
cf000_origin_arena_sympy.py,PASS,
cf000_structural_witness_sympy.py,PASS,
cf05_sympy_verification.py,PASS,
cf07_sympy_attack.py,PASS,
cf11_entropy_exchange_check.py,PASS,
cf11_eos_identity_check.py,PASS,
cf11_forced_lifted_quotient_check.py,PASS,
cf11_forced_quotient_check.py,PASS,
cf11_forced_quotient_lower_bound_check.py,PASS,
cf11_hierarchy_sound_speed_check.py,PASS,
cf11_higher_order_leakage_check.py,PASS,
cf11_m_sector_limits_check.py,PASS,
cf11_operator_channel_projection_check.py,PASS,
cf11_phase_quotient_check.py,PASS,
cf11_projector_hessian_check.py,PASS,
cf11_proxy_metriplectic_check.py,PASS,
cf12_sympy_checks.py,PASS,
cf13_sympy_audit.py,PASS,
cf14_sympy_checks.py,PASS,
cf15_sympy_checks.py,PASS,
cf16_weinberg_skeptic_audit.py,PASS,
cf17_symbolic_checks.py,PASS,
cf19_executable_replay_attack_v52.py,PASS,
cf19_extension_sympy.py,PASS,
cf_involution_algebra_check.py,PASS,
coldmap.py,PASS,
compiler.py,PASS,
composite_metrology_saturation_sweep.py,PASS,
connectome.py,PASS,
coupling.py,PASS,
cross_corpus_state_completeness_attack_v54.py,PASS,
dataset.py,PASS,
diagnostics.py,PASS,
dsu.py,PASS,
echo_gates.py,PASS,
echo_metrics.py,PASS,
events.py,PASS,
exact_second_pass.py,PASS,
experimental_consequences_sympy.py,PASS,
extension_closure_sympy.py,PASS,
fibonacci.py,PASS,
field.py,PASS,
first_b_relational_orthad.py,PASS,
first_l_emergence_cascade.py,PASS,
first_l_hierarchical_relation_grid.py,PASS,
first_q_relational_orthad.py,PASS,
fitness.py,PASS,
four_predeep_closure.py,PASS,
gauge.py,PASS,
gdsp.py,PASS,
global_system.py,PASS,
growth_arbiter.py,PASS,
heisenberg.py,PASS,
invariants.py,PASS,
kg_reference_adapter.py,PASS,
lifted_quintic_certifier.py,PASS,
lifted_shell_projection_f1a.py,PASS,
lifted_state.py,PASS,
light_identification_exact.py,PASS,
memorymap.py,PASS,
metrics.py,PASS,
modal_f1a_scaling_hammer.py,PASS,
monodromy_memory_state_completeness_attack_v51.py,PASS,
native_area_biform_probe.py,PASS,
native_baryon_hydrogen.py,PASS,
native_baryon_relation_dynamics.py,PASS,
native_baryon_transport_hydrogen.py,PASS,
native_biology_derivation.py,PASS,
native_biology_sympy.py,PASS,
native_color_flux.py,PASS,
native_color_singlet_composites.py,PASS,
native_emergence_search.py,PASS,
native_first_generation_closure.py,PASS,
native_lepton_hypercharge_yukawa.py,PASS,
native_multimode_atomic_emission.py,PASS,
native_operator_closure.py,PASS,
ns3d_pseudospectral_f1a.py,PASS,
operators.py,PASS,
orthad_birth_transport.py,PASS,
orthad_multilayer_exact.py,PASS,
orthad_multilayer_execution.py,PASS,
orthad_state.py,PASS,
overflow_to_55_89_code.py,PASS,
pc_branch_universal_sympy_audit.py,PASS,
pc_inverse_word_sympy_audit.py,PASS,
pc_monodromy_certifier.py,PASS,
pc_monodromy_global_sympy_audit.py,PASS,
pc_monodromy_sympy_audit (copy).py,PASS,
pc_monodromy_sympy_audit.py,PASS,
pc_vdm_lifted_descent_audit.py,PASS,
pc_vdm_lifted_descent_solver_sympy_audit.py,PASS,
pcsr_sympy_validation.py,PASS,
pencil_yinyang_transform_attack_v48.py,PASS,
phase3_v1_general_shadow_sweep.py,PASS,
phase3_v2_modular_b_operator_family.py,PASS,
phase3_v2_sympy_audit.py,PASS,
phase3_v3_full_audit_generator.py,PASS,
phase3_v3_projection_loss_theorem_corpus.py,PASS,
phase3_v4_ancient_yi_carry_lift.py,PASS,
phase3_v5_wilhelm_six_line_ladder.py,PASS,
phase4_v1_general_shadow_ii.py,PASS,
phase4_v2_modular_B_classification.py,PASS,
phase4_v3_projection_loss_formalization.py,PASS,
phase4_v5_wilhelm_lift_rechart.py,PASS,
phase5_v1_b_scale_phase_fusion_test.py,PASS,
phase5_v1_canon_repair_corrected_protocol.py,PASS,
phase5_v1_corrected_orientation_derivation.py,PASS,
phase5_v1_orthad_overset_dual_lens_transfer_test.py,PASS,
phase5_v1_orthad_overset_quadratic_self_twist_gauss_test.py,PASS,
phase5_v1_primitive_to_weil_generation.py,PASS,
phase5_v1_reopened_orthad_corrected_test.py,PASS,
phase5_v1_reweighted_Q_budget_test.py,PASS,
phase5_v2_orthad_overset_canonization.py,PASS,
phase5_v3_general_N_stability_test.py,PASS,
phase5_v4_character_shadow_residual_reentry.py,PASS,
phase5_v5_orthad_primitive_origin_audit.py,PASS,
phase5_v6_regression_stale_canon_repair.py,PASS,
phase5_v7_closure_attack.py,PASS,
phase5_v7b_doubled_orientation_carrier_test.py,PASS,
phase5_v7c_doubled_carrier_reverification.py,PASS,
phase5_v7d_multi_axis_finite_quadratic_module_test.py,PASS,
phase5_v7e_native_inter_axis_coupling_derivation.py,PASS,
phase5_v7f_coupling_registry_sweep.py,PASS,
phase5_v7g_multi_axis_coupling_tensor_extension.py,PASS,
phase5_v7h_pairwise_coupling_reachability_sweep.py,PASS,
phase5_v7i_full_phase5_canon_consolidation.py,PASS,
phase5_v7j_axis_free_overset_grid_revisit.py,PASS,
phase5_v7k_liu2022_mhd_retained_topology_revisit.py,PASS,
phase5_v7l_open_flux_disappearance_revisit.py,PASS,
phase5_v7m_trace_cocycle_normal_form.py,PASS,
phase5_v7n_finite_orthad_qgt_jm_split.py,PASS,
phase5_v7o_contact_latch_boundary_extension.py,PASS,
phase5_v7p_native_qbl_event_alphabet.py,PASS,
phase5_v7q_native_transition_assignment.py,PASS,
phase5_v7r_fqm_gauge_isometry_classifier.py,PASS,
