source_path,filename,sha256,bytes,category,reason,internal_hash_group_size,v2_exact_matches
20260619T190328_orthad_lift_measurement.py,20260619T190328_orthad_lift_measurement.py,720b97cac912184379f4afdd9481f503a8f955babc95a695302608db44816109,8958,added_tier_b,"Partition refinement/inherit-extend measurement, exact coefficients, entropy and residual resolution.",1,
20260710T234301_qbl_b_defect_investigation.py,20260710T234301_qbl_b_defect_investigation.py,24235da9fd9fd19ac1639a99b33f030759a5a28fcb26a5987875a945e7360daf,3309,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260710T234301_qbl_b_defect_investigation.py,1,math_candidates/20260710T234301_qbl_b_defect_investigation.py
20260711T064604_build_package.py,20260711T064604_build_package.py,0b6f655aaca51654e8f79da635c5fa76e508557d801c39ee37f3837889348c81,15138,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T064604_derive_j.py,20260711T064604_derive_j.py,26b5789ef4ea6e50d6b8a2f232b64b2cd5f0a69f2d35cd372370f7ad313a37fa,17896,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T064604_derive_j.py,1,math_candidates/20260711T064604_derive_j.py
20260711T074914_build_package.py,20260711T074914_build_package.py,9f63778b53da276ee4898dd540499a44dc9d03e2f8ef2caafc3a1db86f1c6f62,22498,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T074914_derive_symbolic_language.py,20260711T074914_derive_symbolic_language.py,65a131ab0526aaec8d8ade78cb6eedbf7a009fb0c54fd4a33572f10ccb7f7e40,33252,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T074914_derive_symbolic_language.py,1,math_candidates/20260711T074914_derive_symbolic_language.py
20260711T083401_build_package.py,20260711T083401_build_package.py,5d6fbe6158949e5464d577899dd3d30293f7ed48552796560a9d7b99df01f4f4,22901,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T083401_derive_affine_language.py,20260711T083401_derive_affine_language.py,cddc3d0fdb4a378b3d5f8237b490794c261befb2ac5f788b6e9c620ce40ac782,23018,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T083401_derive_affine_language.py,1,math_candidates/20260711T083401_derive_affine_language.py
20260711T103100_build_package.py,20260711T103100_build_package.py,edfd4b2661b282442f8808ac7fc385ea4fcf4f7ee9ab2071450ebc6b6c9f3750,24470,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T103100_derive_affine_language.py,20260711T103100_derive_affine_language.py,5f5faef9c1be6cf9c389718a9cf432102e65ca6b8b41a12f7191c8371d7916d2,28343,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T103100_derive_affine_language.py,1,math_candidates/20260711T103100_derive_affine_language.py
20260711T110131_build_package.py,20260711T110131_build_package.py,dc439bf8d0a0f20a2cddbef389d30cdc70492293a39e429af894636d0227131e,9042,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T110131_derive_threshold.py,20260711T110131_derive_threshold.py,7d217510bd48e5f251463d7c03e50e691a37bf68ca7fb652db977ce8115ddec9,1210,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T110131_derive_threshold.py,1,math_candidates/20260711T110131_derive_threshold.py
20260711T110131_verify_package.py,20260711T110131_verify_package.py,6d13d06fca06d2b4e1670a1f6b254d18013241e17f0a6499d1d23d889c1ba79c,463,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260711T113107_build_package.py,20260711T113107_build_package.py,281959a7b383e946deaf4233d5e447c1172e9bff6e337ca3f4db55e4714e424b,25221,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T113107_derive_threshold.py,20260711T113107_derive_threshold.py,4b280b90eb5431c77588b24a5fd08881497307647080a146e62ccff02357f9fb,7120,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T113107_derive_threshold.py,1,math_candidates/20260711T113107_derive_threshold.py
20260711T113107_verify_package.py,20260711T113107_verify_package.py,be1a297027cf42ca4f77a9365b639566f1beea47f22f8299631f30b2d91f4312,2040,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260711T120831_build_package.py,20260711T120831_build_package.py,2a653720cd99a95a1b56481682c80c7667f321a03d7c7f139a1adbdfd885ee52,2731,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T120831_derive_factor.py,20260711T120831_derive_factor.py,ba8dd25b3671f9ae062880fa59f950ebb776b30a811f4495c680bd9fc5422878,3779,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T120831_derive_factor.py,1,math_candidates/20260711T120831_derive_factor.py
20260711T134500_build_package.py,20260711T134500_build_package.py,f1e997044b999d68ed21ea08d9748c63dbece4f8deee58e5779ad7447d05f6ea,4114,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T134500_derive_factor_scope.py,20260711T134500_derive_factor_scope.py,bc28faf4b93a34a3ee67938d2338d10afed71d6774f62d1b3ac69c4a767e1e88,7664,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T134500_derive_factor_scope.py,1,math_candidates/20260711T134500_derive_factor_scope.py
20260711T142511_build_package.py,20260711T142511_build_package.py,f1a3956d438916b692bab214ce05b3bb81252a204287e4f2cdbd20e4817a4c0a,4318,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T142511_derive_primary_pairing.py,20260711T142511_derive_primary_pairing.py,dcb705b5bc190e0f6e3dac2c3a5c43cdef53ba06cf89e8d175bbede6568a3ff1,8619,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T142511_derive_primary_pairing.py,1,math_candidates/20260711T142511_derive_primary_pairing.py
20260711T142511_verify_archive.py,20260711T142511_verify_archive.py,8cffc20153b3cded0bb2aef245f1e32758216dbddbb2dc36e0a9be28e418d9bf,733,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260711T145605_build_package.py,20260711T145605_build_package.py,c78a74df109e0da8cf031005de8b5e288f005497507dc3989da86f000013fd6e,5143,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T145605_derive_type_boundary.py,20260711T145605_derive_type_boundary.py,fa51b9d6fa579fc1dffa0d4550b88b26586198abd82208cb6f0b47f40131a3a8,12806,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T145605_derive_type_boundary.py,1,math_candidates/20260711T145605_derive_type_boundary.py
20260711T145605_verify_archive.py,20260711T145605_verify_archive.py,3134032613f6e30cfdecbdf0a7a346c164ddbe4b46a582ca88b4d33f3169aedf,853,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260711T162253_build_package.py,20260711T162253_build_package.py,0b2dea25ea4647a50e3e308432aa0bae1d5776cedff9cc465dcb82537314de7e,21373,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T162253_derive_domain_invariant.py,20260711T162253_derive_domain_invariant.py,f2be12f7543dd77333db6025449a33c2e29e9ed9347ffd3b957971fa572b4c64,10552,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T162253_derive_domain_invariant.py,1,math_candidates/20260711T162253_derive_domain_invariant.py
20260711T162253_verify_package.py,20260711T162253_verify_package.py,b264169761efb4155d077e101d9d332fbbaead8e703af4641dd71a5f2bc43a53,1168,test_build_verification_benchmark,Validation/benchmark/test artifact rather than a reusable math/solver implementation.,1,
20260711T162758_generate.py,20260711T162758_generate.py,3ca4fdcc6ca19703272716f393377332de5de9b29981f6e55400e7a36c147ad8,2163,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T162758_make_manifest.py,20260711T162758_make_manifest.py,7c64313a09ca9d9575f88b3210e1f5eeb1e54136c83460640bcf085e61a2e891,467,runtime_persistence_orchestration,Build/CLI/persistence/runtime orchestration rather than a distinct math tool.,1,
20260711T162758_make_notebook.py,20260711T162758_make_notebook.py,6ab8c6e10e1b38cfa1e9505f6faf350bd6b695f009178c9ee46b1d7f3dacfa51,257,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
20260711T162758_model.py,20260711T162758_model.py,a23a6a695d64e34e38500afa212744c43f336b6eae1a2d34a590dea3399bf7b2,11892,exact_duplicate_v2,Exact SHA-256 duplicate of existing v2 content: math_candidates/20260711T162758_model.py,1,math_candidates/20260711T162758_model.py
20260711T162758_rebuild.py,20260711T162758_rebuild.py,5d8056706c97a7a102ca14b7aa845b63d6d786c35deba1bb37a179b698c03fee,582,not_promoted_after_semantic_review,Byte-distinct but not judged to add a sufficiently distinct/reusable math or solver capability beyond v2 and promoted files.,1,
